Number,Continent,Country,DENSITY,LnDENSITY,ECI,Longitude,Latitude,npp,biodiv,pathos
30,Africa,"Egypt, Arab Rep.",59.74386833,1.776293339,-0.232851553,29.8618993,26.49593108,14,0.032251016,0.35478678
61,Africa,Libya,2.579237414,0.41149132,-1.12812764,18.00865782,27.03094247,13.91164429,0.036852277,-0.037599223
2,Africa,Algeria,11.23056772,1.050401711,-0.64926839,2.61732102,28.15893844,59.16872299,0.050171516,0.047108523
76,M.East,Oman,6.182130776,0.791138188,-0.67831255,56.09165967,20.60515412,84.44473038,0.055928486,0.402640129
17,N.America,Canada,3.133056424,0.495968216,1.04792845,-98.30775723,61.36206827,216.7560273,0.066346125,-0.98044632
87,M.East,Saudi,8.153964257,0.911368803,-0.731292117,44.53687041,24.12245467,266.3101537,0.068182634,0.448505746
114,M.East,"Yemen, Rep.",36.52590043,1.562600931,-1.21125935,47.58676005,15.90927655,101.8161312,0.073281341,0.401431748
53,M.East,Jordan,44.4060166,1.647441817,0.496358785,36.77137251,31.24579389,122.9073473,0.086286939,0.371854371
106,M.East,UAE,11.83697888,1.073240873,-0.319526698,54.30015737,23.90527175,136.2490438,0.086670366,0.381675126
84,M.East,Qatar,55.57486287,1.7448784,-0.359663705,51.18478512,25.30600936,147.6355307,0.09588142,0.387280108
47,M.East,"Iran, Islamic Rep.",34.18582159,1.533846022,-1.032736225,54.27407071,32.57503287,111.4221469,0.111144691,0.256107315
75,Europe,Norway,11.92989705,1.076636696,1.056655275,15.34832968,68.75014407,882.8318153,0.114472006,-0.744590305
57,M.East,Kuwait,111.1766852,2.046013721,-0.2758061,47.58699362,29.33431677,196.456119,0.114739507,0.400869934
95,Africa,Sudan,9.709610343,0.987201802,-1.247505675,29.94047226,15.99035431,205.7484509,0.124736196,0.465898769
111,Asia,Uzbekistan,60.50096504,1.781762302,-0.44705909,63.14001799,41.75554081,226.0833109,0.131558621,-0.081541135
98,M.East,Syrian,74.15476256,1.870139049,-0.455899439,38.50787939,35.02547248,334.4236819,0.13303223,0.241041216
96,Europe,Sweden,21.17789966,1.325882886,1.99224075,16.74371219,62.79232016,796.5439686,0.13799743,-0.602548426
105,Asia,Turkmenistan,9.895758831,0.995449103,-0.960321632,59.37099935,39.11554017,259.0398227,0.138054942,0.030036362
54,Asia,Kazakhstan,5.745680748,0.759341491,-0.160976958,67.29149657,48.15687954,367.8413509,0.144433107,-0.303959566
5,Australia,Australia,2.295192937,0.360819199,0.1199119,134.4909988,-25.73288736,325.5592618,0.14467522,-0.48594288
68,Asia,Mongolia,1.529136306,0.1844462,-0.597857971,103.0529965,46.82681435,492.3845324,0.144867834,-0.337802279
34,Europe,Finland,16.53440304,1.21838852,1.761323175,26.27467024,64.49884844,735.4770841,0.146602211,-0.650421969
48,Europe,Ireland,54.10696727,1.733253192,1.4055193,-8.13793167,53.1754426,1335.514097,0.150386404,-0.466579878
86,Europe,Russian,8.890666836,0.948934336,0.569947182,96.68657347,61.98052168,258.3027725,0.153251318,-0.683697922
77,Asia,Pakistan,150.6900351,2.178084534,-0.38483742,69.33958027,29.94975221,606.271269,0.15548252,0.299552223
72,Australia,NewZeland,13.68483916,1.136239697,0.491539625,171.4849539,-41.81112825,1620.191775,0.171352307,-0.647060452
69,Africa,Morocco,57.16596661,1.757137551,-0.2454539,-8.45616045,29.83762793,596.7156316,0.174906102,0.243895688
103,Africa,Tunisia,53.50559974,1.728399236,0.122190713,9.55288287,34.11956663,286.2042825,0.178206063,0.014351652
66,N.America,Mexico,46.21384588,1.664772112,0.887335825,-102.5234504,23.94753932,661.2600798,0.191398307,-0.108701839
4,S.America,Argentina,12.31930084,1.090586061,0.217494975,-65.17980881,-35.38135347,909.5145982,0.195265833,-0.401644387
18,S.America,Chile,18.38931862,1.264565638,-0.002468155,-71.38255879,-37.73069754,1282.836617,0.19989487,-0.563658147
49,M.East,Israel,246.4624538,2.391750768,1.212857625,35.00444995,31.4611019,598.3108827,0.200674173,0.367652305
27,Europe,Denmark,123.7791175,2.092647382,1.46284175,10.02799418,55.98126391,1030.782435,0.203380208,-0.414451641
107,Europe,UK,100.6377459,2.002760901,1.83278575,-2.86563362,54.12387156,1309.115534,0.203514965,-0.452536663
10,Europe,Belgium,335.0447855,2.525102863,1.46284718,4.64064572,50.63981435,1275.673932,0.204997043,-0.303679712
71,Europe,Netherlands,452.7128358,2.655822808,1.27522718,5.2814735,52.10080804,1238.643433,0.20635062,-0.33638391
19,Asia,China,122.3681331,2.087668334,0.5480769,103.8190739,36.56176801,564.5871543,0.209827874,0.191307871
38,Europe,Germany,234.5561044,2.37024674,2.129119546,10.38577693,51.10697903,1072.182973,0.21265666,-0.25675903
82,Europe,Poland,121.6593817,2.085145605,1.04943135,19.39011841,52.12759537,889.9908401,0.21631971,-0.25821349
59,Europe,Latvia,36.7512687,1.565272336,0.487541642,24.9123704,56.85085306,1037.978668,0.217802027,-0.437761022
32,Europe,Estonia,32.37388783,1.510194858,0.657581263,25.54248555,58.67192416,990.0564197,0.221713015,-0.495353602
26,Europe,Czech,133.493128,2.12545891,1.583762778,15.31240065,49.73341073,1013.710573,0.22193252,-0.174903635
108,Europe,Ukraine,583.1026979,2.765745051,0.661226227,31.38325794,48.99656784,924.7278771,0.223941983,-0.215542043
35,Europe,France,108.0705955,2.033707545,1.6322325,2.53618475,46.18700581,1196.032712,0.224269241,-0.234456011
62,Europe,Lithuania,53.77494079,1.730579941,0.48183,23.88720035,55.32611078,1007.105133,0.226623284,-0.380672168
